store,date,weekday,hour,visitors,sales_yen
店舗01,2026-01-05,0,8,22,47582
店舗01,2026-01-05,0,9,26,51969
店舗01,2026-01-05,0,10,21,49833
店舗01,2026-01-05,0,11,32,70286
店舗01,2026-01-05,0,12,39,97110
店舗01,2026-01-05,0,13,37,90064
店舗01,2026-01-05,0,14,24,57993
店舗01,2026-01-05,0,15,28,65548
店舗01,2026-01-05,0,16,27,60141
店舗01,2026-01-05,0,17,34,77279
店舗01,2026-01-05,0,18,38,92941
店舗01,2026-01-05,0,19,37,89819
店舗01,2026-01-05,0,20,36,81966
店舗01,2026-01-05,0,21,19,46757
店舗01,2026-01-06,1,8,25,58237
店舗01,2026-01-06,1,9,19,46875
店舗01,2026-01-06,1,10,30,73433
店舗01,2026-01-06,1,11,33,78243
店舗01,2026-01-06,1,12,36,90247
店舗01,2026-01-06,1,13,35,82676
店舗01,2026-01-06,1,14,28,68982
店舗01,2026-01-06,1,15,23,52103
店舗01,2026-01-06,1,16,25,57512
店舗01,2026-01-06,1,17,32,80777
店舗01,2026-01-06,1,18,33,75561
店舗01,2026-01-06,1,19,37,91687
店舗01,2026-01-06,1,20,30,68617
店舗01,2026-01-06,1,21,25,57889
店舗01,2026-01-07,2,8,15,32190
店舗01,2026-01-07,2,9,24,57015
店舗01,2026-01-07,2,10,29,65920
店舗01,2026-01-07,2,11,35,80301
店舗01,2026-01-07,2,12,37,82542
店舗01,2026-01-07,2,13,31,66177
店舗01,2026-01-07,2,14,29,65700
店舗01,2026-01-07,2,15,26,63190
店舗01,2026-01-07,2,16,30,69968
店舗01,2026-01-07,2,17,35,71620
店舗01,2026-01-07,2,18,34,71805
店舗01,2026-01-07,2,19,37,80920
店舗01,2026-01-07,2,20,26,67180
店舗01,2026-01-07,2,21,25,54549
店舗01,2026-01-08,3,8,20,43580
店舗01,2026-01-08,3,9,26,53016
店舗01,2026-01-08,3,10,28,66998
店舗01,2026-01-08,3,11,27,63801
店舗01,2026-01-08,3,12,33,78932
店舗01,2026-01-08,3,13,39,89970
店舗01,2026-01-08,3,14,23,54792
店舗01,2026-01-08,3,15,30,75010
店舗01,2026-01-08,3,16,29,75788
店舗01,2026-01-08,3,17,33,72046
店舗01,2026-01-08,3,18,38,79883
店舗01,2026-01-08,3,19,34,70899
店舗01,2026-01-08,3,20,23,55348
店舗01,2026-01-08,3,21,30,86235
店舗01,2026-01-09,4,8,22,47781
店舗01,2026-01-09,4,9,23,50684
店舗01,2026-01-09,4,10,25,55996
店舗01,2026-01-09,4,11,37,87996
店舗01,2026-01-09,4,12,35,75725
店舗01,2026-01-09,4,13,30,70210
店舗01,2026-01-09,4,14,34,80697
店舗01,2026-01-09,4,15,22,47008
店舗01,2026-01-09,4,16,24,53267
店舗01,2026-01-09,4,17,32,80030
店舗01,2026-01-09,4,18,36,90637
店舗01,2026-01-09,4,19,34,79651
店舗01,2026-01-09,4,20,24,58327
店舗01,2026-01-09,4,21,17,36040
店舗01,2026-01-10,5,8,26,68490
店舗01,2026-01-10,5,9,27,64839
店舗01,2026-01-10,5,10,38,90801
店舗01,2026-01-10,5,11,44,106796
店舗01,2026-01-10,5,12,49,116766
店舗01,2026-01-10,5,13,34,90004
店舗01,2026-01-10,5,14,40,92707
店舗01,2026-01-10,5,15,36,77426
店舗01,2026-01-10,5,16,30,73974
店舗01,2026-01-10,5,17,43,99785
店舗01,2026-01-10,5,18,49,127564
店舗01,2026-01-10,5,19,45,89144
店舗01,2026-01-10,5,20,33,72541
店舗01,2026-01-10,5,21,23,52667
店舗01,2026-01-11,6,8,29,61226
店舗01,2026-01-11,6,9,25,57275
店舗01,2026-01-11,6,10,37,90534
店舗01,2026-01-11,6,11,39,86764
店舗01,2026-01-11,6,12,42,100533
店舗01,2026-01-11,6,13,35,82820
店舗01,2026-01-11,6,14,34,95307
店舗01,2026-01-11,6,15,26,59755
店舗01,2026-01-11,6,16,28,62823
店舗01,2026-01-11,6,17,48,106501
店舗01,2026-01-11,6,18,45,88357
店舗01,2026-01-11,6,19,39,87933
店舗01,2026-01-11,6,20,30,69991
店舗01,2026-01-11,6,21,21,57399
店舗01,2026-01-12,0,8,15,32289
店舗01,2026-01-12,0,9,34,72730
店舗01,2026-01-12,0,10,25,60287
店舗01,2026-01-12,0,11,28,64564
店舗01,2026-01-12,0,12,38,92274
店舗01,2026-01-12,0,13,32,67281
店舗01,2026-01-12,0,14,26,59853
店舗01,2026-01-12,0,15,22,53567
店舗01,2026-01-12,0,16,32,76095
店舗01,2026-01-12,0,17,35,82251
店舗01,2026-01-12,0,18,36,86651
店舗01,2026-01-12,0,19,46,125431
店舗01,2026-01-12,0,20,33,79842
店舗01,2026-01-12,0,21,17,43595
店舗01,2026-01-13,1,8,22,53601
店舗01,2026-01-13,1,9,26,63227
店舗01,2026-01-13,1,10,22,49833
店舗01,2026-01-13,1,11,33,75815
店舗01,2026-01-13,1,12,35,80663
店舗01,2026-01-13,1,13,38,71744
店舗01,2026-01-13,1,14,26,61926
店舗01,2026-01-13,1,15,23,46777
店舗01,2026-01-13,1,16,29,77167
店舗01,2026-01-13,1,17,39,89344
店舗01,2026-01-13,1,18,39,84259
店舗01,2026-01-13,1,19,40,98195
店舗01,2026-01-13,1,20,34,87106
店舗01,2026-01-13,1,21,29,70442
