store,raw_task_name,minutes
店舗01,レジ,181.4
店舗01,キャッシャー,191.6
店舗01,POS対応,142.2
店舗01,レジ,146.0
店舗01,会計,148.0
店舗01,キャッシャー,193.3
店舗01,キャッシャー,193.9
店舗01,POS対応,148.9
店舗01,POS対応,142.5
店舗01,会計,156.3
店舗01,POS対応,142.4
店舗01,POS対応,194.3
店舗01,POS対応,186.3
店舗01,キャッシャー,126.3
店舗01,会計,135.1
店舗01,会計,125.8
店舗01,レジ,165.9
店舗01,キャッシャー,161.4
店舗01,POS対応,182.4
店舗01,キャッシャー,197.6
店舗01,キャッシャー,198.5
店舗01,レジ,208.2
店舗01,レジ,117.3
店舗01,キャッシャー,124.6
店舗01,会計,211.6
店舗01,POS対応,160.4
店舗01,レジ,147.1
店舗01,会計,142.5
店舗01,POS対応,182.4
店舗01,レジ,157.6
店舗01,キャッシャー,176.1
店舗01,POS対応,181.2
店舗01,キャッシャー,132.1
店舗01,キャッシャー,137.6
店舗01,キャッシャー,183.3
店舗01,商品補充,197.1
店舗01,品出し,214.6
店舗01,補充作業,200.2
店舗01,品出し,220.1
店舗01,商品補充,202.7
店舗01,商品補充,186.0
店舗01,棚補充,230.7
店舗01,棚補充,219.2
店舗01,棚補充,236.4
店舗01,商品補充,273.8
店舗01,補充作業,222.5
店舗01,補充作業,208.8
店舗01,商品補充,184.0
店舗01,棚補充,252.6
店舗01,棚補充,176.1
店舗01,品出し,224.0
店舗01,補充作業,240.8
店舗01,商品補充,183.4
店舗01,商品補充,222.7
店舗01,補充作業,168.6
店舗01,商品補充,275.1
店舗01,品出し,176.6
店舗01,棚補充,201.9
店舗01,補充作業,137.2
店舗01,商品補充,249.3
店舗01,補充作業,218.9
店舗01,品出し,187.3
店舗01,品出し,214.2
店舗01,補充作業,186.2
店舗01,商品補充,213.0
店舗01,商品補充,216.0
店舗01,品出し,210.0
店舗01,商品補充,163.7
店舗01,品出し,230.4
店舗01,品出し,187.5
店舗01,惣菜調理,261.3
店舗01,デリカ,250.9
店舗01,デリカ,187.7
店舗01,弁当製造,231.9
店舗01,惣菜,336.1
店舗01,デリカ,355.1
店舗01,デリカ,279.0
店舗01,デリカ,294.0
店舗01,惣菜調理,273.0
店舗01,弁当製造,298.5
店舗01,惣菜,281.7
店舗01,惣菜調理,221.8
店舗01,デリカ,238.3
店舗01,惣菜,210.5
店舗01,惣菜,242.4
店舗01,弁当製造,249.0
店舗01,惣菜調理,283.1
店舗01,デリカ,267.8
店舗01,弁当製造,221.9
店舗01,惣菜,296.5
店舗01,弁当製造,242.0
店舗01,弁当製造,252.2
店舗01,惣菜調理,237.9
店舗01,デリカ,236.6
店舗01,弁当製造,287.3
店舗01,デリカ,276.9
店舗01,弁当製造,310.4
店舗01,惣菜調理,341.4
店舗01,デリカ,282.6
店舗01,惣菜,239.7
店舗01,デリカ,232.7
店舗01,デリカ,198.8
店舗01,弁当製造,208.0
店舗01,惣菜調理,278.3
店舗01,惣菜,306.9
店舗01,清掃,114.2
店舗01,クリンリネス,113.9
店舗01,清掃,95.1
店舗01,店内清掃,106.3
店舗01,店内清掃,81.3
店舗01,店内清掃,92.7
店舗01,清掃,91.2
店舗01,クリンリネス,100.9
店舗01,クリンリネス,73.9
