store,standard_task,median_minutes,records
店舗01,レジ,160.4,35
店舗01,品出し,213.0,35
店舗01,惣菜,261.3,35
店舗01,清掃,89.8,35
店舗01,発注・在庫,111.7,35
店舗02,レジ,156.9,35
店舗02,品出し,208.8,35
店舗02,惣菜,257.0,35
店舗02,清掃,95.3,35
店舗02,発注・在庫,111.0,35
店舗03,レジ,158.5,35
店舗03,品出し,207.5,35
店舗03,惣菜,264.9,35
店舗03,清掃,94.4,35
店舗03,発注・在庫,109.6,35
店舗04,レジ,160.0,35
店舗04,品出し,205.8,35
店舗04,惣菜,250.0,35
店舗04,清掃,96.7,35
店舗04,発注・在庫,106.3,35
店舗05,レジ,167.1,35
店舗05,品出し,222.4,35
店舗05,惣菜,268.7,35
店舗05,清掃,94.1,35
店舗05,発注・在庫,108.6,35
店舗06,レジ,160.6,35
店舗06,品出し,218.0,35
店舗06,惣菜,259.9,35
店舗06,清掃,95.7,35
店舗06,発注・在庫,113.0,35
店舗07,レジ,159.2,35
店舗07,品出し,218.1,35
店舗07,惣菜,251.8,35
店舗07,清掃,92.7,35
店舗07,発注・在庫,111.7,35
店舗08,レジ,161.1,35
店舗08,品出し,206.1,35
店舗08,惣菜,267.4,35
店舗08,清掃,101.2,35
店舗08,発注・在庫,111.8,35
