store,weekday,hour,predicted_visitors,predicted_sales_yen,demand_minutes,fixed_minutes,required_staff,current_staff,staff_gap
店舗01,0,8,18.25,41118.875,49.275000000000006,105,4,3,1
店舗01,0,9,24.125,53952.125,65.1375,105,4,4,0
店舗01,0,10,25.25,59962.875,68.17500000000001,48,3,3,0
店舗01,0,11,31.875,75630.625,86.0625,48,3,3,0
店舗01,0,12,35.5,80811.5,95.85000000000001,48,3,4,-1
店舗01,0,13,32.0,72731.125,86.4,48,3,3,0
店舗01,0,14,24.375,58627.875,65.8125,48,3,3,0
店舗01,0,15,25.25,59734.75,68.17500000000001,48,3,3,0
店舗01,0,16,28.25,67509.625,76.275,48,3,3,0
店舗01,0,17,35.125,81595.625,94.8375,48,3,3,0
店舗01,0,18,39.0,93238.875,105.30000000000001,48,4,4,0
店舗01,0,19,36.0,86503.5,97.2,48,3,3,0
店舗01,0,20,28.5,66494.375,76.95,105,4,3,1
店舗01,0,21,21.875,54949.875,59.06250000000001,105,4,2,2
店舗01,1,8,20.625,48397.5,55.68750000000001,105,4,3,1
店舗01,1,9,22.125,52450.0,59.737500000000004,105,4,3,1
店舗01,1,10,25.5,62146.875,68.85000000000001,48,3,3,0
店舗01,1,11,33.625,78128.125,90.78750000000001,48,3,3,0
店舗01,1,12,35.75,85055.875,96.525,48,3,3,0
店舗01,1,13,33.625,77395.0,90.78750000000001,48,3,3,0
店舗01,1,14,29.625,65800.0,79.98750000000001,48,3,3,0
店舗01,1,15,22.0,51491.875,59.400000000000006,48,3,3,0
店舗01,1,16,27.25,64675.75,73.575,48,3,3,0
店舗01,1,17,34.5,77438.625,93.15,48,3,3,0
店舗01,1,18,39.25,89964.875,105.97500000000001,48,4,4,0
店舗01,1,19,37.0,87640.5,99.9,48,3,4,-1
店舗01,1,20,27.375,64587.125,73.91250000000001,105,4,3,1
店舗01,1,21,25.75,60444.625,69.525,105,4,3,1
店舗01,2,8,21.125,48183.375,57.0375,105,4,4,0
店舗01,2,9,20.625,49144.375,55.68750000000001,105,4,3,1
店舗01,2,10,23.75,55161.625,64.125,48,3,3,0
店舗01,2,11,33.125,78473.25,89.4375,48,3,3,0
店舗01,2,12,36.25,84080.625,97.875,48,3,4,-1
店舗01,2,13,30.625,68925.125,82.6875,48,3,2,1
店舗01,2,14,25.625,60140.75,69.1875,48,3,3,0
店舗01,2,15,22.75,52430.5,61.425000000000004,48,3,3,0
店舗01,2,16,27.75,62007.125,74.92500000000001,48,3,3,0
店舗01,2,17,33.875,78376.0,91.4625,48,3,3,0
店舗01,2,18,37.625,86602.625,101.5875,48,3,4,-1
店舗01,2,19,34.0,79652.25,91.80000000000001,48,3,4,-1
店舗01,2,20,27.875,62474.25,75.2625,105,4,3,1
店舗01,2,21,21.875,51618.0,59.06250000000001,105,4,3,1
店舗01,3,8,18.75,44086.875,50.625,105,4,3,1
店舗01,3,9,22.375,52025.75,60.4125,105,4,3,1
店舗01,3,10,27.75,65863.625,74.92500000000001,48,3,3,0
店舗01,3,11,28.5,66055.375,76.95,48,3,3,0
店舗01,3,12,36.625,84395.25,98.8875,48,3,4,-1
店舗01,3,13,36.5,88306.375,98.55000000000001,48,3,3,0
店舗01,3,14,27.375,65687.375,73.91250000000001,48,3,3,0
店舗01,3,15,22.625,54151.875,61.087500000000006,48,3,3,0
店舗01,3,16,27.625,66544.0,74.5875,48,3,3,0
店舗01,3,17,36.875,86509.625,99.5625,48,3,3,0
店舗01,3,18,37.75,90954.125,101.92500000000001,48,3,4,-1
店舗01,3,19,34.0,77827.625,91.80000000000001,48,3,3,0
店舗01,3,20,26.625,62815.875,71.8875,105,4,3,1
店舗01,3,21,22.625,54404.625,61.087500000000006,105,4,3,1
店舗01,4,8,18.625,41329.875,50.2875,105,4,3,1
店舗01,4,9,21.875,52028.625,59.06250000000001,105,4,3,1
店舗01,4,10,26.25,62028.5,70.875,48,3,3,0
店舗01,4,11,32.25,74073.25,87.075,48,3,3,0
店舗01,4,12,36.0,85588.0,97.2,48,3,3,0
店舗01,4,13,32.25,78519.0,87.075,48,3,3,0
店舗01,4,14,27.0,63204.0,72.9,48,3,3,0
店舗01,4,15,24.625,56833.75,66.48750000000001,48,3,3,0
店舗01,4,16,26.375,63320.5,71.2125,48,3,3,0
店舗01,4,17,36.375,79264.5,98.2125,48,3,4,-1
店舗01,4,18,39.25,92270.5,105.97500000000001,48,4,4,0
店舗01,4,19,33.125,76157.5,89.4375,48,3,4,-1
店舗01,4,20,24.75,58452.0,66.825,105,4,3,1
店舗01,4,21,21.625,51087.375,58.3875,105,4,3,1
