product_id,category,product_name,unit_price
P001,青果,青果1,282
P002,青果,青果2,230
P003,青果,青果3,398
P004,青果,青果4,176
P005,青果,青果5,294
P006,青果,青果6,252
P007,青果,青果7,241
P008,青果,青果8,315
P009,青果,青果9,165
P010,青果,青果10,208
P011,精肉,精肉1,566
P012,精肉,精肉2,781
P013,精肉,精肉3,590
P014,精肉,精肉4,683
P015,精肉,精肉5,363
P016,精肉,精肉6,436
P017,精肉,精肉7,692
P018,精肉,精肉8,507
P019,精肉,精肉9,572
P020,精肉,精肉10,664
P021,鮮魚,鮮魚1,290
P022,鮮魚,鮮魚2,395
P023,鮮魚,鮮魚3,510
P024,鮮魚,鮮魚4,359
P025,鮮魚,鮮魚5,446
P026,鮮魚,鮮魚6,515
P027,鮮魚,鮮魚7,450
P028,鮮魚,鮮魚8,492
P029,鮮魚,鮮魚9,524
P030,鮮魚,鮮魚10,658
P031,惣菜,惣菜1,513
P032,惣菜,惣菜2,359
P033,惣菜,惣菜3,325
P034,惣菜,惣菜4,459
P035,惣菜,惣菜5,429
P036,惣菜,惣菜6,409
P037,惣菜,惣菜7,319
P038,惣菜,惣菜8,440
P039,惣菜,惣菜9,458
P040,惣菜,惣菜10,250
P041,乳製品,乳製品1,276
P042,乳製品,乳製品2,226
P043,乳製品,乳製品3,195
P044,乳製品,乳製品4,157
P045,乳製品,乳製品5,214
P046,乳製品,乳製品6,227
P047,乳製品,乳製品7,212
P048,乳製品,乳製品8,174
P049,乳製品,乳製品9,175
P050,乳製品,乳製品10,262
P051,飲料,飲料1,171
P052,飲料,飲料2,179
P053,飲料,飲料3,191
P054,飲料,飲料4,194
P055,飲料,飲料5,228
P056,飲料,飲料6,167
P057,飲料,飲料7,161
P058,飲料,飲料8,137
P059,飲料,飲料9,178
P060,飲料,飲料10,178
P061,菓子,菓子1,178
P062,菓子,菓子2,208
P063,菓子,菓子3,209
P064,菓子,菓子4,363
P065,菓子,菓子5,188
P066,菓子,菓子6,262
P067,菓子,菓子7,227
P068,菓子,菓子8,206
P069,菓子,菓子9,227
P070,菓子,菓子10,225
P071,調味料,調味料1,337
P072,調味料,調味料2,323
P073,調味料,調味料3,314
P074,調味料,調味料4,313
P075,調味料,調味料5,358
P076,調味料,調味料6,331
P077,調味料,調味料7,405
P078,調味料,調味料8,433
P079,調味料,調味料9,336
P080,調味料,調味料10,319
