customer_id,recency,frequency,monetary,stores_used,R_score,F_score,M_score,RFM_score,segment
C00001,13,19,40477,1,3,2,2,7,休眠・育成
C00002,12,21,49158,2,3,3,4,10,一般
C00003,17,25,49320,2,3,5,4,12,優良
C00004,2,22,41469,1,5,3,2,10,一般
C00005,20,25,62964,2,2,5,5,12,優良
C00006,33,30,65829,4,1,5,5,11,一般
C00007,10,26,55688,1,4,5,5,14,優良
C00008,24,21,52241,1,2,3,4,9,一般
C00009,21,26,61175,1,2,5,5,12,優良
C00010,4,26,51112,2,5,5,4,14,優良
C00011,16,18,43298,1,3,2,3,8,一般
C00012,4,13,21254,1,5,1,1,7,休眠・育成
C00013,22,18,39699,1,2,2,2,6,休眠・育成
C00014,6,23,50745,1,4,4,4,12,優良
C00015,5,22,46969,1,4,3,3,10,一般
C00016,5,19,48354,1,4,2,4,10,一般
C00017,17,22,41727,1,3,3,2,8,一般
C00018,62,24,46316,1,1,4,3,8,一般
C00019,29,24,51042,1,2,4,4,10,一般
C00020,19,15,30680,1,2,1,1,4,休眠・育成
C00021,9,14,30692,1,4,1,1,6,休眠・育成
C00022,15,26,57988,1,3,5,5,13,優良
C00023,32,12,20265,1,1,1,1,3,休眠・育成
C00024,6,28,59212,1,4,5,5,14,優良
C00025,17,28,62101,2,3,5,5,13,優良
C00026,27,24,57915,2,2,4,5,11,一般
C00027,19,21,50482,2,2,3,4,9,一般
C00028,3,16,37707,1,5,1,2,8,一般
C00029,3,16,41335,1,5,1,2,8,一般
C00030,32,18,45736,2,1,2,3,6,休眠・育成
C00031,4,19,44547,1,5,2,3,10,一般
C00032,4,19,41726,1,5,2,2,9,一般
C00033,6,19,41564,1,4,2,2,8,一般
C00034,3,19,36922,1,5,2,2,9,一般
C00035,21,19,37221,1,2,2,2,6,休眠・育成
C00036,52,23,58173,1,1,4,5,10,一般
C00037,3,26,57349,2,5,5,5,15,優良
C00038,7,27,56792,1,4,5,5,14,優良
C00039,2,30,66948,2,5,5,5,15,優良
C00040,1,24,54221,3,5,4,4,13,優良
C00041,68,22,54408,1,1,3,4,8,一般
C00042,12,25,54087,1,3,5,4,12,優良
C00043,60,24,48457,2,1,4,4,9,一般
C00044,16,19,40780,2,3,2,2,7,休眠・育成
C00045,40,25,54733,3,1,5,5,11,一般
C00046,38,17,35509,1,1,1,1,3,休眠・育成
C00047,2,20,43030,1,5,3,3,11,一般
C00048,1,18,47768,1,5,2,4,11,一般
C00049,16,15,32494,1,3,1,1,5,休眠・育成
C00050,1,20,37667,1,5,3,2,10,一般
C00051,25,24,57023,1,2,4,5,11,一般
C00052,3,28,67131,3,5,5,5,15,優良
C00053,7,25,51324,1,4,5,4,13,優良
C00054,2,24,60199,1,5,4,5,14,優良
C00055,8,16,46501,1,4,1,3,8,一般
C00056,32,16,34075,1,1,1,1,3,休眠・育成
C00057,23,23,47122,2,2,4,3,9,一般
C00058,18,25,45971,3,2,5,3,10,一般
C00059,33,25,58985,1,1,5,5,11,一般
C00060,41,17,25032,1,1,1,1,3,休眠・育成
C00061,11,20,50744,1,3,3,4,10,一般
C00062,38,17,39530,1,1,1,2,4,休眠・育成
C00063,1,25,59913,2,5,5,5,15,優良
C00064,3,18,28876,1,5,2,1,8,一般
C00065,4,23,51145,2,5,4,4,13,優良
C00066,4,27,68222,2,5,5,5,15,優良
C00067,28,22,48973,1,2,3,4,9,一般
C00068,1,17,42262,1,5,1,2,8,一般
C00069,6,21,49176,1,4,3,4,11,一般
C00070,1,22,47526,1,5,3,3,11,一般
C00071,24,18,36912,1,2,2,2,6,休眠・育成
C00072,18,17,39155,1,2,1,2,5,休眠・育成
C00073,4,18,45455,1,5,2,3,10,一般
C00074,11,21,39140,1,3,3,2,8,一般
C00075,14,23,52536,1,3,4,4,11,一般
C00076,15,15,31165,1,3,1,1,5,休眠・育成
C00077,29,22,47593,1,2,3,3,8,一般
C00078,24,17,40523,1,2,1,2,5,休眠・育成
C00079,26,27,58462,2,2,5,5,12,優良
C00080,8,22,45927,1,4,3,3,10,一般
C00081,28,25,50609,1,2,5,4,11,一般
C00082,38,18,43709,2,1,2,3,6,休眠・育成
C00083,60,21,45106,3,1,3,3,7,休眠・育成
C00084,10,22,40729,1,4,3,2,9,一般
C00085,8,17,40952,2,4,1,2,7,休眠・育成
C00086,18,27,57401,2,2,5,5,12,優良
C00087,13,22,45783,1,3,3,3,9,一般
C00088,33,20,42812,2,1,3,3,7,休眠・育成
C00089,10,27,62803,2,4,5,5,14,優良
C00090,6,14,30217,1,4,1,1,6,休眠・育成
C00091,41,16,34890,1,1,1,1,3,休眠・育成
C00092,7,18,41266,2,4,2,2,8,一般
C00093,38,21,46610,2,1,3,3,7,休眠・育成
C00094,5,18,37937,1,4,2,2,8,一般
C00095,12,12,22756,1,3,1,1,5,休眠・育成
C00096,35,25,57847,3,1,5,5,11,一般
C00097,72,17,33648,2,1,1,1,3,休眠・育成
C00098,2,20,47486,2,5,3,3,11,一般
C00099,12,25,45398,1,3,5,3,11,一般
C00100,1,18,39541,1,5,2,2,9,一般
C00101,10,19,37362,1,4,2,2,8,一般
C00102,8,16,26352,1,4,1,1,6,休眠・育成
C00103,2,18,36650,1,5,2,2,9,一般
C00104,11,18,46515,2,3,2,3,8,一般
C00105,68,12,27742,1,1,1,1,3,休眠・育成
C00106,19,17,43337,2,2,1,3,6,休眠・育成
C00107,8,24,54204,1,4,4,4,12,優良
C00108,1,20,42722,1,5,3,3,11,一般
