customer_id,industry,company_size,lead_source,inquiry_type
A00001,食品,小規模,Web問い合わせ,サンプル依頼
A00002,化粧品,大規模,Web問い合わせ,サンプル依頼
A00003,化粧品,小規模,営業開拓,見積依頼
A00004,その他,小規模,Web問い合わせ,サンプル依頼
A00005,その他,中規模,Web問い合わせ,サンプル依頼
A00006,化粧品,中規模,展示会,見積依頼
A00007,食品,中規模,展示会,サンプル依頼
A00008,日用品,小規模,Web問い合わせ,資料請求
A00009,研究開発,小規模,Web問い合わせ,サンプル依頼
A00010,食品,中規模,営業開拓,資料請求
A00011,食品,小規模,Web問い合わせ,資料請求
A00012,研究開発,大規模,営業開拓,情報収集
A00013,食品,小規模,Web問い合わせ,資料請求
A00014,その他,小規模,紹介,情報収集
A00015,食品,小規模,Web問い合わせ,情報収集
A00016,化粧品,中規模,展示会,資料請求
A00017,化粧品,小規模,Web問い合わせ,情報収集
A00018,化粧品,小規模,営業開拓,資料請求
A00019,その他,中規模,紹介,資料請求
A00020,日用品,小規模,紹介,資料請求
A00021,化粧品,小規模,展示会,見積依頼
A00022,化粧品,小規模,営業開拓,資料請求
A00023,研究開発,小規模,Web問い合わせ,情報収集
A00024,食品,大規模,展示会,サンプル依頼
A00025,化粧品,小規模,Web問い合わせ,資料請求
A00026,食品,小規模,Web問い合わせ,資料請求
A00027,化粧品,小規模,Web問い合わせ,情報収集
A00028,化粧品,中規模,営業開拓,資料請求
A00029,化粧品,中規模,営業開拓,情報収集
A00030,化粧品,中規模,紹介,資料請求
A00031,日用品,中規模,展示会,見積依頼
A00032,食品,小規模,展示会,資料請求
A00033,化粧品,中規模,営業開拓,資料請求
A00034,食品,小規模,営業開拓,資料請求
A00035,日用品,大規模,営業開拓,情報収集
A00036,化粧品,中規模,営業開拓,サンプル依頼
A00037,化粧品,小規模,紹介,サンプル依頼
A00038,日用品,小規模,紹介,見積依頼
A00039,食品,中規模,展示会,見積依頼
A00040,研究開発,大規模,営業開拓,サンプル依頼
A00041,日用品,小規模,Web問い合わせ,情報収集
A00042,その他,大規模,展示会,資料請求
A00043,化粧品,小規模,Web問い合わせ,サンプル依頼
A00044,化粧品,小規模,営業開拓,サンプル依頼
A00045,化粧品,大規模,Web問い合わせ,見積依頼
A00046,その他,中規模,Web問い合わせ,情報収集
A00047,日用品,中規模,営業開拓,資料請求
A00048,日用品,小規模,営業開拓,サンプル依頼
A00049,食品,中規模,展示会,サンプル依頼
A00050,化粧品,小規模,営業開拓,資料請求
A00051,化粧品,小規模,展示会,サンプル依頼
A00052,研究開発,中規模,紹介,資料請求
A00053,食品,小規模,Web問い合わせ,サンプル依頼
A00054,その他,大規模,営業開拓,見積依頼
A00055,化粧品,大規模,紹介,情報収集
A00056,その他,小規模,営業開拓,情報収集
A00057,化粧品,小規模,Web問い合わせ,資料請求
A00058,その他,小規模,Web問い合わせ,情報収集
A00059,化粧品,大規模,展示会,情報収集
A00060,化粧品,小規模,Web問い合わせ,情報収集
A00061,食品,大規模,Web問い合わせ,情報収集
A00062,日用品,中規模,紹介,情報収集
A00063,化粧品,中規模,Web問い合わせ,資料請求
A00064,研究開発,小規模,営業開拓,情報収集
A00065,その他,中規模,展示会,資料請求
A00066,化粧品,中規模,展示会,サンプル依頼
A00067,化粧品,小規模,Web問い合わせ,資料請求
A00068,研究開発,大規模,営業開拓,情報収集
A00069,化粧品,中規模,Web問い合わせ,情報収集
A00070,日用品,中規模,Web問い合わせ,資料請求
A00071,研究開発,中規模,営業開拓,見積依頼
A00072,その他,中規模,紹介,情報収集
A00073,日用品,小規模,展示会,情報収集
A00074,食品,小規模,紹介,サンプル依頼
A00075,化粧品,大規模,Web問い合わせ,資料請求
A00076,化粧品,中規模,Web問い合わせ,資料請求
A00077,化粧品,小規模,Web問い合わせ,資料請求
A00078,日用品,中規模,紹介,資料請求
A00079,化粧品,小規模,展示会,資料請求
A00080,研究開発,大規模,Web問い合わせ,資料請求
A00081,その他,小規模,Web問い合わせ,見積依頼
A00082,化粧品,小規模,展示会,見積依頼
A00083,日用品,小規模,展示会,見積依頼
A00084,その他,小規模,営業開拓,情報収集
A00085,化粧品,中規模,営業開拓,情報収集
A00086,その他,中規模,営業開拓,情報収集
A00087,研究開発,小規模,Web問い合わせ,資料請求
A00088,研究開発,中規模,Web問い合わせ,資料請求
A00089,化粧品,中規模,営業開拓,資料請求
A00090,研究開発,中規模,展示会,見積依頼
A00091,研究開発,小規模,営業開拓,見積依頼
A00092,その他,小規模,営業開拓,資料請求
