activity_id,customer_id,activity_date,activity_type
ACT-A00001-1,A00001,2026-03-06,電話
ACT-A00001-2,A00001,2026-03-03,メール
ACT-A00002-1,A00002,2026-03-25,電話
ACT-A00002-2,A00002,2026-03-22,メール
ACT-A00002-3,A00002,2026-03-19,商談
ACT-A00002-4,A00002,2026-03-16,資料送付
ACT-A00003-1,A00003,2026-03-01,電話
ACT-A00003-2,A00003,2026-03-01,メール
ACT-A00003-3,A00003,2026-03-01,商談
ACT-A00005-1,A00005,2026-03-01,電話
ACT-A00005-2,A00005,2026-03-01,メール
ACT-A00005-3,A00005,2026-03-01,商談
ACT-A00006-1,A00006,2026-03-01,電話
ACT-A00006-2,A00006,2026-03-01,メール
ACT-A00006-3,A00006,2026-03-01,商談
ACT-A00006-4,A00006,2026-03-01,資料送付
ACT-A00006-5,A00006,2026-03-01,電話
ACT-A00007-1,A00007,2026-03-01,電話
ACT-A00008-1,A00008,2026-03-01,電話
ACT-A00008-2,A00008,2026-03-01,メール
ACT-A00008-3,A00008,2026-03-01,商談
ACT-A00009-1,A00009,2026-03-02,電話
ACT-A00009-2,A00009,2026-03-01,メール
ACT-A00009-3,A00009,2026-03-01,商談
ACT-A00009-4,A00009,2026-03-01,資料送付
ACT-A00010-1,A00010,2026-03-01,電話
ACT-A00010-2,A00010,2026-03-01,メール
ACT-A00011-1,A00011,2026-03-14,電話
ACT-A00011-2,A00011,2026-03-11,メール
ACT-A00011-3,A00011,2026-03-08,商談
ACT-A00012-1,A00012,2026-03-02,電話
ACT-A00013-1,A00013,2026-03-01,電話
ACT-A00013-2,A00013,2026-03-01,メール
ACT-A00013-3,A00013,2026-03-01,商談
ACT-A00014-1,A00014,2026-03-05,電話
ACT-A00014-2,A00014,2026-03-02,メール
ACT-A00014-3,A00014,2026-03-01,商談
ACT-A00015-1,A00015,2026-03-01,電話
ACT-A00016-1,A00016,2026-03-01,電話
ACT-A00016-2,A00016,2026-03-01,メール
ACT-A00017-1,A00017,2026-03-01,電話
ACT-A00017-2,A00017,2026-03-01,メール
ACT-A00018-1,A00018,2026-03-14,電話
ACT-A00018-2,A00018,2026-03-11,メール
ACT-A00018-3,A00018,2026-03-08,商談
ACT-A00018-4,A00018,2026-03-05,資料送付
ACT-A00019-1,A00019,2026-03-10,電話
ACT-A00019-2,A00019,2026-03-07,メール
ACT-A00020-1,A00020,2026-03-01,電話
ACT-A00020-2,A00020,2026-03-01,メール
ACT-A00020-3,A00020,2026-03-01,商談
ACT-A00020-4,A00020,2026-03-01,資料送付
ACT-A00021-1,A00021,2026-03-01,電話
ACT-A00021-2,A00021,2026-03-01,メール
ACT-A00022-1,A00022,2026-03-12,電話
ACT-A00022-2,A00022,2026-03-09,メール
ACT-A00022-3,A00022,2026-03-06,商談
ACT-A00022-4,A00022,2026-03-03,資料送付
ACT-A00022-5,A00022,2026-03-01,電話
ACT-A00023-1,A00023,2026-03-01,電話
ACT-A00023-2,A00023,2026-03-01,メール
ACT-A00023-3,A00023,2026-03-01,商談
ACT-A00024-1,A00024,2026-03-01,電話
ACT-A00024-2,A00024,2026-03-01,メール
ACT-A00026-1,A00026,2026-03-01,電話
ACT-A00026-2,A00026,2026-03-01,メール
ACT-A00026-3,A00026,2026-03-01,商談
ACT-A00026-4,A00026,2026-03-01,資料送付
ACT-A00027-1,A00027,2026-03-07,電話
ACT-A00027-2,A00027,2026-03-04,メール
ACT-A00027-3,A00027,2026-03-01,商談
ACT-A00027-4,A00027,2026-03-01,資料送付
ACT-A00028-1,A00028,2026-03-01,電話
ACT-A00028-2,A00028,2026-03-01,メール
ACT-A00029-1,A00029,2026-03-01,電話
ACT-A00030-1,A00030,2026-03-23,電話
ACT-A00030-2,A00030,2026-03-20,メール
ACT-A00031-1,A00031,2026-03-01,電話
ACT-A00031-2,A00031,2026-03-01,メール
