opportunity_id,customer_id,stage,contracted,days_since_contact
OPP-A00001,A00001,契約,1,22
OPP-A00002,A00002,商談,0,3
OPP-A00003,A00003,接触済,0,119
OPP-A00004,A00004,未接触,0,41
OPP-A00005,A00005,接触済,0,78
OPP-A00006,A00006,契約,1,28
OPP-A00007,A00007,接触済,0,75
OPP-A00008,A00008,接触済,0,107
OPP-A00009,A00009,接触済,0,26
OPP-A00010,A00010,接触済,0,119
OPP-A00011,A00011,接触済,0,14
OPP-A00012,A00012,接触済,0,26
OPP-A00013,A00013,接触済,0,109
OPP-A00014,A00014,接触済,0,23
OPP-A00015,A00015,接触済,0,28
OPP-A00016,A00016,接触済,0,45
OPP-A00017,A00017,接触済,0,77
OPP-A00018,A00018,契約,1,14
OPP-A00019,A00019,接触済,0,18
OPP-A00020,A00020,接触済,0,61
OPP-A00021,A00021,接触済,0,61
OPP-A00022,A00022,契約,1,16
OPP-A00023,A00023,接触済,0,107
OPP-A00024,A00024,接触済,0,70
OPP-A00025,A00025,未接触,0,85
OPP-A00026,A00026,接触済,0,113
OPP-A00027,A00027,接触済,0,21
OPP-A00028,A00028,接触済,0,47
OPP-A00029,A00029,接触済,0,29
OPP-A00030,A00030,接触済,0,5
OPP-A00031,A00031,接触済,0,117
OPP-A00032,A00032,接触済,0,99
OPP-A00033,A00033,契約,1,66
OPP-A00034,A00034,接触済,0,53
OPP-A00035,A00035,接触済,0,13
OPP-A00036,A00036,接触済,0,53
OPP-A00037,A00037,接触済,0,47
OPP-A00038,A00038,接触済,0,60
OPP-A00039,A00039,接触済,0,72
OPP-A00040,A00040,接触済,0,77
OPP-A00041,A00041,接触済,0,109
OPP-A00042,A00042,接触済,0,73
OPP-A00043,A00043,接触済,0,118
OPP-A00044,A00044,接触済,0,65
OPP-A00045,A00045,接触済,0,102
OPP-A00046,A00046,接触済,0,32
OPP-A00047,A00047,接触済,0,86
OPP-A00048,A00048,接触済,0,100
OPP-A00049,A00049,接触済,0,30
OPP-A00050,A00050,接触済,0,13
OPP-A00051,A00051,契約,1,102
OPP-A00052,A00052,接触済,0,109
OPP-A00053,A00053,接触済,0,39
OPP-A00054,A00054,接触済,0,99
OPP-A00055,A00055,商談,0,70
OPP-A00056,A00056,接触済,0,94
OPP-A00057,A00057,未接触,0,41
OPP-A00058,A00058,接触済,0,23
OPP-A00059,A00059,接触済,0,120
OPP-A00060,A00060,接触済,0,50
OPP-A00061,A00061,接触済,0,95
OPP-A00062,A00062,接触済,0,117
OPP-A00063,A00063,接触済,0,113
OPP-A00064,A00064,接触済,0,9
OPP-A00065,A00065,接触済,0,94
OPP-A00066,A00066,接触済,0,85
OPP-A00067,A00067,接触済,0,57
OPP-A00068,A00068,接触済,0,67
OPP-A00069,A00069,接触済,0,66
OPP-A00070,A00070,接触済,0,72
OPP-A00071,A00071,接触済,0,0
OPP-A00072,A00072,未接触,0,89
OPP-A00073,A00073,接触済,0,2
OPP-A00074,A00074,接触済,0,1
OPP-A00075,A00075,接触済,0,80
OPP-A00076,A00076,接触済,0,83
OPP-A00077,A00077,未接触,0,26
OPP-A00078,A00078,接触済,0,70
OPP-A00079,A00079,接触済,0,107
OPP-A00080,A00080,接触済,0,22
OPP-A00081,A00081,接触済,0,109
OPP-A00082,A00082,接触済,0,17
OPP-A00083,A00083,接触済,0,99
OPP-A00084,A00084,接触済,0,11
OPP-A00085,A00085,接触済,0,78
OPP-A00086,A00086,接触済,0,40
OPP-A00087,A00087,接触済,0,7
OPP-A00088,A00088,接触済,0,49
OPP-A00089,A00089,接触済,0,51
OPP-A00090,A00090,接触済,0,6
OPP-A00091,A00091,接触済,0,4
OPP-A00092,A00092,接触済,0,59
OPP-A00093,A00093,未接触,0,81
OPP-A00094,A00094,接触済,0,4
OPP-A00095,A00095,接触済,0,88
OPP-A00096,A00096,接触済,0,61
OPP-A00097,A00097,接触済,0,100
OPP-A00098,A00098,接触済,0,65
OPP-A00099,A00099,接触済,0,58
OPP-A00100,A00100,接触済,0,83
OPP-A00101,A00101,接触済,0,18
OPP-A00102,A00102,接触済,0,22
OPP-A00103,A00103,接触済,0,32
OPP-A00104,A00104,接触済,0,76
OPP-A00105,A00105,未接触,0,90
OPP-A00106,A00106,接触済,0,64
OPP-A00107,A00107,接触済,0,57
OPP-A00108,A00108,接触済,0,73
OPP-A00109,A00109,接触済,0,1
OPP-A00110,A00110,接触済,0,36
OPP-A00111,A00111,接触済,0,21
OPP-A00112,A00112,未接触,0,103
OPP-A00113,A00113,接触済,0,112
OPP-A00114,A00114,接触済,0,85
OPP-A00115,A00115,接触済,0,29
OPP-A00116,A00116,接触済,0,86
OPP-A00117,A00117,接触済,0,29
OPP-A00118,A00118,接触済,0,53
OPP-A00119,A00119,接触済,0,99
OPP-A00120,A00120,未接触,0,35
OPP-A00121,A00121,接触済,0,46
