customer_id,industry,company_size,lead_source,inquiry_type,contact_count,days_since_contact,stage,contracted
A00001,食品,小規模,Web問い合わせ,サンプル依頼,2,22,契約,1
A00002,化粧品,大規模,Web問い合わせ,サンプル依頼,4,3,商談,0
A00003,化粧品,小規模,営業開拓,見積依頼,3,119,接触済,0
A00004,その他,小規模,Web問い合わせ,サンプル依頼,0,41,未接触,0
A00005,その他,中規模,Web問い合わせ,サンプル依頼,3,78,接触済,0
A00006,化粧品,中規模,展示会,見積依頼,5,28,契約,1
A00007,食品,中規模,展示会,サンプル依頼,1,75,接触済,0
A00008,日用品,小規模,Web問い合わせ,資料請求,3,107,接触済,0
A00009,研究開発,小規模,Web問い合わせ,サンプル依頼,4,26,接触済,0
A00010,食品,中規模,営業開拓,資料請求,2,119,接触済,0
A00011,食品,小規模,Web問い合わせ,資料請求,3,14,接触済,0
A00012,研究開発,大規模,営業開拓,情報収集,1,26,接触済,0
A00013,食品,小規模,Web問い合わせ,資料請求,3,109,接触済,0
A00014,その他,小規模,紹介,情報収集,3,23,接触済,0
A00015,食品,小規模,Web問い合わせ,情報収集,1,28,接触済,0
A00016,化粧品,中規模,展示会,資料請求,2,45,接触済,0
A00017,化粧品,小規模,Web問い合わせ,情報収集,2,77,接触済,0
A00018,化粧品,小規模,営業開拓,資料請求,4,14,契約,1
A00019,その他,中規模,紹介,資料請求,2,18,接触済,0
A00020,日用品,小規模,紹介,資料請求,4,61,接触済,0
A00021,化粧品,小規模,展示会,見積依頼,2,61,接触済,0
A00022,化粧品,小規模,営業開拓,資料請求,5,16,契約,1
A00023,研究開発,小規模,Web問い合わせ,情報収集,3,107,接触済,0
A00024,食品,大規模,展示会,サンプル依頼,2,70,接触済,0
A00025,化粧品,小規模,Web問い合わせ,資料請求,0,85,未接触,0
A00026,食品,小規模,Web問い合わせ,資料請求,4,113,接触済,0
A00027,化粧品,小規模,Web問い合わせ,情報収集,4,21,接触済,0
A00028,化粧品,中規模,営業開拓,資料請求,2,47,接触済,0
A00029,化粧品,中規模,営業開拓,情報収集,1,29,接触済,0
A00030,化粧品,中規模,紹介,資料請求,2,5,接触済,0
A00031,日用品,中規模,展示会,見積依頼,3,117,接触済,0
A00032,食品,小規模,展示会,資料請求,3,99,接触済,0
A00033,化粧品,中規模,営業開拓,資料請求,2,66,契約,1
A00034,食品,小規模,営業開拓,資料請求,2,53,接触済,0
A00035,日用品,大規模,営業開拓,情報収集,4,13,接触済,0
A00036,化粧品,中規模,営業開拓,サンプル依頼,4,53,接触済,0
A00037,化粧品,小規模,紹介,サンプル依頼,1,47,接触済,0
A00038,日用品,小規模,紹介,見積依頼,2,60,接触済,0
A00039,食品,中規模,展示会,見積依頼,5,72,接触済,0
A00040,研究開発,大規模,営業開拓,サンプル依頼,4,77,接触済,0
A00041,日用品,小規模,Web問い合わせ,情報収集,2,109,接触済,0
A00042,その他,大規模,展示会,資料請求,2,73,接触済,0
A00043,化粧品,小規模,Web問い合わせ,サンプル依頼,3,118,接触済,0
A00044,化粧品,小規模,営業開拓,サンプル依頼,1,65,接触済,0
A00045,化粧品,大規模,Web問い合わせ,見積依頼,4,102,接触済,0
A00046,その他,中規模,Web問い合わせ,情報収集,3,32,接触済,0
A00047,日用品,中規模,営業開拓,資料請求,1,86,接触済,0
A00048,日用品,小規模,営業開拓,サンプル依頼,3,100,接触済,0
A00049,食品,中規模,展示会,サンプル依頼,3,30,接触済,0
A00050,化粧品,小規模,営業開拓,資料請求,2,13,接触済,0
A00051,化粧品,小規模,展示会,サンプル依頼,2,102,契約,1
A00052,研究開発,中規模,紹介,資料請求,3,109,接触済,0
A00053,食品,小規模,Web問い合わせ,サンプル依頼,2,39,接触済,0
A00054,その他,大規模,営業開拓,見積依頼,3,99,接触済,0
A00055,化粧品,大規模,紹介,情報収集,5,70,商談,0
A00056,その他,小規模,営業開拓,情報収集,4,94,接触済,0
A00057,化粧品,小規模,Web問い合わせ,資料請求,0,41,未接触,0
A00058,その他,小規模,Web問い合わせ,情報収集,1,23,接触済,0
A00059,化粧品,大規模,展示会,情報収集,4,120,接触済,0
A00060,化粧品,小規模,Web問い合わせ,情報収集,1,50,接触済,0
