feature,category_value,sum,count,smoothed_rate
industry,その他,31,465,0.06743642611683848
industry,化粧品,108,831,0.1289150019584802
industry,日用品,48,572,0.08396396396396395
industry,研究開発,25,462,0.055408022130013834
industry,食品,44,670,0.0662415458937198
company_size,中規模,87,1118,0.07794961921499707
company_size,大規模,54,461,0.11581427581427581
company_size,小規模,115,1421,0.08099005320379365
lead_source,Web問い合わせ,81,1037,0.07824660990223904
lead_source,営業開拓,44,738,0.0602990325417766
lead_source,展示会,55,735,0.07510816777041943
lead_source,紹介,76,490,0.15236601307189543
inquiry_type,サンプル依頼,76,740,0.10224561403508771
inquiry_type,情報収集,47,806,0.05896690879741727
inquiry_type,見積依頼,72,507,0.13986084756483239
inquiry_type,資料請求,61,947,0.06484660461909686
