customer_id,industry,company_size,lead_source,inquiry_type,contact_count,days_since_contact,stage,contracted,prospect_score,priority,recommended_action
A02709,食品,中規模,紹介,見積依頼,5,4,商談,0,23.1,高,商談状況を確認
A01113,日用品,小規模,紹介,サンプル依頼,5,4,商談,0,22.7,高,商談状況を確認
A00381,研究開発,大規模,紹介,情報収集,7,0,商談,0,22.1,高,商談状況を確認
A00363,化粧品,中規模,Web問い合わせ,サンプル依頼,5,4,商談,0,21.9,高,商談状況を確認
A02804,その他,小規模,紹介,資料請求,5,0,接触済,0,21.6,高,商談状況を確認
A02566,化粧品,小規模,紹介,見積依頼,9,45,商談,0,21.5,高,優先フォロー
A00839,化粧品,大規模,展示会,資料請求,6,9,接触済,0,21.4,高,商談状況を確認
A01318,日用品,中規模,Web問い合わせ,見積依頼,7,8,接触済,0,21.4,高,商談状況を確認
A00505,化粧品,大規模,展示会,見積依頼,5,36,商談,0,21.1,高,優先フォロー
A00231,食品,小規模,展示会,見積依頼,5,6,接触済,0,21.1,高,商談状況を確認
A02497,食品,中規模,Web問い合わせ,見積依頼,8,7,接触済,0,21.0,高,商談状況を確認
A01625,食品,小規模,Web問い合わせ,見積依頼,6,11,接触済,0,20.8,高,商談状況を確認
A00571,化粧品,小規模,Web問い合わせ,資料請求,5,6,接触済,0,20.8,高,商談状況を確認
A01853,食品,大規模,展示会,見積依頼,6,22,商談,0,20.7,高,優先フォロー
A02654,研究開発,大規模,Web問い合わせ,サンプル依頼,6,8,接触済,0,20.7,高,商談状況を確認
A02448,化粧品,大規模,紹介,資料請求,4,12,商談,0,20.6,高,商談状況を確認
A00477,食品,大規模,営業開拓,サンプル依頼,6,7,接触済,0,20.6,高,商談状況を確認
A00091,研究開発,小規模,営業開拓,見積依頼,10,4,接触済,0,20.6,高,商談状況を確認
A00585,化粧品,小規模,営業開拓,サンプル依頼,5,17,接触済,0,20.5,高,優先フォロー
A02242,化粧品,小規模,Web問い合わせ,情報収集,6,9,接触済,0,20.5,高,商談状況を確認
A00777,日用品,中規模,紹介,資料請求,6,20,接触済,0,20.4,高,優先フォロー
A02343,その他,小規模,紹介,資料請求,5,16,接触済,0,20.4,高,優先フォロー
A00002,化粧品,大規模,Web問い合わせ,サンプル依頼,4,3,商談,0,20.4,高,商談状況を確認
A01268,化粧品,小規模,紹介,資料請求,4,3,商談,0,20.4,高,商談状況を確認
A02971,食品,中規模,Web問い合わせ,見積依頼,5,16,接触済,0,20.3,高,優先フォロー
A01236,化粧品,小規模,展示会,情報収集,5,10,接触済,0,20.3,高,商談状況を確認
