date,channel,ad_spend,impressions,clicks
2025-04-01,検索広告,14848,79888,3372
2025-04-01,SNS広告,17118,77890,2149
2025-04-01,自然検索,0,2440,165
2025-04-01,紹介,0,2062,198
2025-04-02,検索広告,16469,109245,4754
2025-04-02,SNS広告,12511,65239,1868
2025-04-02,自然検索,0,2232,165
2025-04-02,紹介,0,1916,180
2025-04-03,検索広告,27063,122464,5297
2025-04-03,SNS広告,17486,93596,2669
2025-04-03,自然検索,0,2259,135
2025-04-03,紹介,0,2744,290
2025-04-04,検索広告,19073,87003,3778
2025-04-04,SNS広告,16106,82353,2381
2025-04-04,自然検索,0,2640,195
2025-04-04,紹介,0,1547,166
2025-04-05,検索広告,18299,118799,5106
2025-04-05,SNS広告,11527,63610,1757
2025-04-05,自然検索,0,1753,111
2025-04-05,紹介,0,2720,272
2025-04-06,検索広告,21669,103102,4518
2025-04-06,SNS広告,16684,118855,3309
2025-04-06,自然検索,0,1899,135
2025-04-06,紹介,0,2222,216
2025-04-07,検索広告,16329,97580,4286
2025-04-07,SNS広告,13421,69446,1985
2025-04-07,自然検索,0,2364,186
2025-04-07,紹介,0,2368,229
2025-04-08,検索広告,18325,98218,4346
2025-04-08,SNS広告,12808,58664,1706
2025-04-08,自然検索,0,2338,197
2025-04-08,紹介,0,2318,233
2025-04-09,検索広告,19780,147402,6441
2025-04-09,SNS広告,12507,87260,2460
2025-04-09,自然検索,0,1492,95
2025-04-09,紹介,0,1932,170
2025-04-10,検索広告,19186,138683,6052
2025-04-10,SNS広告,14615,102723,2840
2025-04-10,自然検索,0,1976,159
2025-04-10,紹介,0,2223,214
2025-04-11,検索広告,18390,100556,4414
2025-04-11,SNS広告,11874,69131,1923
2025-04-11,自然検索,0,1506,109
2025-04-11,紹介,0,2177,205
2025-04-12,検索広告,16006,104818,4653
2025-04-12,SNS広告,14653,76170,2209
2025-04-12,自然検索,0,2640,201
2025-04-12,紹介,0,2103,204
2025-04-13,検索広告,18861,129198,5765
2025-04-13,SNS広告,16428,81666,2335
2025-04-13,自然検索,0,2196,174
2025-04-13,紹介,0,2375,225
2025-04-14,検索広告,17810,124512,5468
2025-04-14,SNS広告,17412,122066,3532
2025-04-14,自然検索,0,2456,197
2025-04-14,紹介,0,2478,221
2025-04-15,検索広告,15551,101067,4410
2025-04-15,SNS広告,14685,94591,2681
2025-04-15,自然検索,0,2228,168
2025-04-15,紹介,0,2596,264
2025-04-16,検索広告,22427,158237,7171
2025-04-16,SNS広告,15667,113835,3247
2025-04-16,自然検索,0,2357,157
2025-04-16,紹介,0,2113,192
2025-04-17,検索広告,20876,130521,5833
2025-04-17,SNS広告,16199,80981,2311
2025-04-17,自然検索,0,2341,191
2025-04-17,紹介,0,2375,220
2025-04-18,検索広告,21240,129655,5720
2025-04-18,SNS広告,18041,83373,2440
2025-04-18,自然検索,0,1800,152
2025-04-18,紹介,0,2489,235
2025-04-19,検索広告,16834,107380,4811
2025-04-19,SNS広告,12032,55871,1609
2025-04-19,自然検索,0,2100,173
2025-04-19,紹介,0,1817,183
2025-04-20,検索広告,20221,100368,4363
2025-04-20,SNS広告,14548,69725,1997
2025-04-20,自然検索,0,2174,150
2025-04-20,紹介,0,2568,254
2025-04-21,検索広告,15898,118701,5240
2025-04-21,SNS広告,13533,100593,2849
2025-04-21,自然検索,0,2167,187
2025-04-21,紹介,0,2747,285
2025-04-22,検索広告,23718,122530,5418
2025-04-22,SNS広告,10774,70015,2023
2025-04-22,自然検索,0,2509,226
2025-04-22,紹介,0,1706,171
2025-04-23,検索広告,18750,119411,5370
2025-04-23,SNS広告,13070,83739,2441
2025-04-23,自然検索,0,1625,140
2025-04-23,紹介,0,1955,206
2025-04-24,検索広告,23389,117933,5231
2025-04-24,SNS広告,14466,69353,2001
2025-04-24,自然検索,0,2045,171
2025-04-24,紹介,0,2633,280
2025-04-25,検索広告,17837,108961,4961
2025-04-25,SNS広告,13411,81928,2342
2025-04-25,自然検索,0,2387,190
2025-04-25,紹介,0,2132,231
2025-04-26,検索広告,18904,122059,5479
2025-04-26,SNS広告,14674,105640,3256
2025-04-26,自然検索,0,2412,183
2025-04-26,紹介,0,2287,228
2025-04-27,検索広告,18286,105670,4917
2025-04-27,SNS広告,18119,134333,3836
