date,channel,ad_spend,impressions,clicks,line_registrations,consultations,applications,contracts
2025-04-01,検索広告,14848,79888,3372,400,134,77,23
2025-04-01,SNS広告,17118,77890,2149,182,45,23,5
2025-04-01,自然検索,0,2440,165,33,15,7,2
2025-04-01,紹介,0,2062,198,39,19,10,4
2025-04-02,検索広告,16469,109245,4754,596,182,109,33
2025-04-02,SNS広告,12511,65239,1868,179,35,17,7
2025-04-02,自然検索,0,2232,165,32,6,3,1
2025-04-02,紹介,0,1916,180,50,19,14,4
2025-04-03,検索広告,27063,122464,5297,651,187,111,40
2025-04-03,SNS広告,17486,93596,2669,234,50,29,9
2025-04-03,自然検索,0,2259,135,25,7,3,2
2025-04-03,紹介,0,2744,290,57,29,15,6
2025-04-04,検索広告,19073,87003,3778,474,147,92,31
2025-04-04,SNS広告,16106,82353,2381,216,53,29,5
2025-04-04,自然検索,0,2640,195,29,11,7,3
2025-04-04,紹介,0,1547,166,43,21,11,9
2025-04-05,検索広告,18299,118799,5106,629,189,95,38
2025-04-05,SNS広告,11527,63610,1757,154,34,22,6
2025-04-05,自然検索,0,1753,111,18,8,3,2
2025-04-05,紹介,0,2720,272,56,22,12,5
2025-04-06,検索広告,21669,103102,4518,540,167,97,29
2025-04-06,SNS広告,16684,118855,3309,308,68,42,17
2025-04-06,自然検索,0,1899,135,21,6,4,1
2025-04-06,紹介,0,2222,216,53,22,11,6
2025-04-07,検索広告,16329,97580,4286,516,164,93,29
2025-04-07,SNS広告,13421,69446,1985,182,40,22,2
2025-04-07,自然検索,0,2364,186,32,5,1,1
2025-04-07,紹介,0,2368,229,51,24,16,4
2025-04-08,検索広告,18325,98218,4346,527,171,103,33
2025-04-08,SNS広告,12808,58664,1706,153,32,14,3
2025-04-08,自然検索,0,2338,197,29,17,11,3
2025-04-08,紹介,0,2318,233,60,24,16,6
2025-04-09,検索広告,19780,147402,6441,773,236,152,45
2025-04-09,SNS広告,12507,87260,2460,212,46,34,11
2025-04-09,自然検索,0,1492,95,12,5,2,1
2025-04-09,紹介,0,1932,170,40,17,8,3
2025-04-10,検索広告,19186,138683,6052,694,196,112,24
2025-04-10,SNS広告,14615,102723,2840,277,64,34,8
2025-04-10,自然検索,0,1976,159,22,7,6,3
2025-04-10,紹介,0,2223,214,46,20,12,4
2025-04-11,検索広告,18390,100556,4414,503,144,90,26
2025-04-11,SNS広告,11874,69131,1923,186,54,25,10
