date,channel,line_registrations
2025-04-01,検索広告,400
2025-04-01,SNS広告,182
2025-04-01,自然検索,33
2025-04-01,紹介,39
2025-04-02,検索広告,596
2025-04-02,SNS広告,179
2025-04-02,自然検索,32
2025-04-02,紹介,50
2025-04-03,検索広告,651
2025-04-03,SNS広告,234
2025-04-03,自然検索,25
2025-04-03,紹介,57
2025-04-04,検索広告,474
2025-04-04,SNS広告,216
2025-04-04,自然検索,29
2025-04-04,紹介,43
2025-04-05,検索広告,629
2025-04-05,SNS広告,154
2025-04-05,自然検索,18
2025-04-05,紹介,56
2025-04-06,検索広告,540
2025-04-06,SNS広告,308
2025-04-06,自然検索,21
2025-04-06,紹介,53
2025-04-07,検索広告,516
2025-04-07,SNS広告,182
2025-04-07,自然検索,32
2025-04-07,紹介,51
2025-04-08,検索広告,527
2025-04-08,SNS広告,153
2025-04-08,自然検索,29
2025-04-08,紹介,60
2025-04-09,検索広告,773
2025-04-09,SNS広告,212
2025-04-09,自然検索,12
2025-04-09,紹介,40
2025-04-10,検索広告,694
2025-04-10,SNS広告,277
2025-04-10,自然検索,22
2025-04-10,紹介,46
2025-04-11,検索広告,503
2025-04-11,SNS広告,186
2025-04-11,自然検索,12
2025-04-11,紹介,47
2025-04-12,検索広告,545
2025-04-12,SNS広告,200
2025-04-12,自然検索,30
2025-04-12,紹介,55
2025-04-13,検索広告,669
2025-04-13,SNS広告,237
2025-04-13,自然検索,25
2025-04-13,紹介,51
2025-04-14,検索広告,693
2025-04-14,SNS広告,311
2025-04-14,自然検索,25
2025-04-14,紹介,61
2025-04-15,検索広告,538
2025-04-15,SNS広告,244
2025-04-15,自然検索,39
2025-04-15,紹介,48
2025-04-16,検索広告,847
2025-04-16,SNS広告,257
2025-04-16,自然検索,19
2025-04-16,紹介,48
2025-04-17,検索広告,731
2025-04-17,SNS広告,219
2025-04-17,自然検索,29
2025-04-17,紹介,43
2025-04-18,検索広告,684
2025-04-18,SNS広告,219
2025-04-18,自然検索,30
2025-04-18,紹介,49
2025-04-19,検索広告,574
2025-04-19,SNS広告,133
2025-04-19,自然検索,28
2025-04-19,紹介,43
2025-04-20,検索広告,514
2025-04-20,SNS広告,193
2025-04-20,自然検索,24
2025-04-20,紹介,54
2025-04-21,検索広告,646
2025-04-21,SNS広告,241
2025-04-21,自然検索,32
2025-04-21,紹介,72
2025-04-22,検索広告,653
2025-04-22,SNS広告,177
2025-04-22,自然検索,33
2025-04-22,紹介,38
2025-04-23,検索広告,649
2025-04-23,SNS広告,206
2025-04-23,自然検索,30
2025-04-23,紹介,46
2025-04-24,検索広告,630
2025-04-24,SNS広告,177
2025-04-24,自然検索,25
2025-04-24,紹介,62
2025-04-25,検索広告,618
2025-04-25,SNS広告,240
2025-04-25,自然検索,33
2025-04-25,紹介,58
2025-04-26,検索広告,708
2025-04-26,SNS広告,289
2025-04-26,自然検索,30
2025-04-26,紹介,58
2025-04-27,検索広告,567
2025-04-27,SNS広告,377
2025-04-27,自然検索,31
2025-04-27,紹介,56
2025-04-28,検索広告,898
2025-04-28,SNS広告,306
2025-04-28,自然検索,21
2025-04-28,紹介,50
2025-04-29,検索広告,465
2025-04-29,SNS広告,286
2025-04-29,自然検索,24
2025-04-29,紹介,50
2025-04-30,検索広告,631
2025-04-30,SNS広告,208
2025-04-30,自然検索,24
2025-04-30,紹介,64
2025-05-01,検索広告,554
2025-05-01,SNS広告,247
2025-05-01,自然検索,32
2025-05-01,紹介,46
2025-05-02,検索広告,417
2025-05-02,SNS広告,207
2025-05-02,自然検索,23
2025-05-02,紹介,63
2025-05-03,検索広告,889
2025-05-03,SNS広告,348
2025-05-03,自然検索,33
2025-05-03,紹介,49
2025-05-04,検索広告,421
2025-05-04,SNS広告,241
2025-05-04,自然検索,29
2025-05-04,紹介,54
2025-05-05,検索広告,489
2025-05-05,SNS広告,156
2025-05-05,自然検索,27
2025-05-05,紹介,46
2025-05-06,検索広告,385
2025-05-06,SNS広告,268
2025-05-06,自然検索,28
2025-05-06,紹介,54
2025-05-07,検索広告,698
2025-05-07,SNS広告,369
2025-05-07,自然検索,24
2025-05-07,紹介,42
2025-05-08,検索広告,399
2025-05-08,SNS広告,230
2025-05-08,自然検索,26
2025-05-08,紹介,48
2025-05-09,検索広告,629
2025-05-09,SNS広告,183
2025-05-09,自然検索,22
2025-05-09,紹介,52
2025-05-10,検索広告,644
2025-05-10,SNS広告,335
2025-05-10,自然検索,23
2025-05-10,紹介,56
2025-05-11,検索広告,460
2025-05-11,SNS広告,195
2025-05-11,自然検索,19
2025-05-11,紹介,47
2025-05-12,検索広告,475
2025-05-12,SNS広告,188
2025-05-12,自然検索,35
2025-05-12,紹介,49
2025-05-13,検索広告,787
2025-05-13,SNS広告,221
2025-05-13,自然検索,33
2025-05-13,紹介,44
2025-05-14,検索広告,597
2025-05-14,SNS広告,201
2025-05-14,自然検索,30
2025-05-14,紹介,52
2025-05-15,検索広告,640
2025-05-15,SNS広告,221
2025-05-15,自然検索,46
2025-05-15,紹介,49
2025-05-16,検索広告,636
2025-05-16,SNS広告,216
2025-05-16,自然検索,23
2025-05-16,紹介,31
2025-05-17,検索広告,616
2025-05-17,SNS広告,259
2025-05-17,自然検索,30
2025-05-17,紹介,66
2025-05-18,検索広告,691
2025-05-18,SNS広告,293
2025-05-18,自然検索,28
2025-05-18,紹介,64
2025-05-19,検索広告,726
2025-05-19,SNS広告,210
2025-05-19,自然検索,20
