date,channel,consultations,applications,contracts
2025-04-01,検索広告,134,77,23
2025-04-01,SNS広告,45,23,5
2025-04-01,自然検索,15,7,2
2025-04-01,紹介,19,10,4
2025-04-02,検索広告,182,109,33
2025-04-02,SNS広告,35,17,7
2025-04-02,自然検索,6,3,1
2025-04-02,紹介,19,14,4
2025-04-03,検索広告,187,111,40
2025-04-03,SNS広告,50,29,9
2025-04-03,自然検索,7,3,2
2025-04-03,紹介,29,15,6
2025-04-04,検索広告,147,92,31
2025-04-04,SNS広告,53,29,5
2025-04-04,自然検索,11,7,3
2025-04-04,紹介,21,11,9
2025-04-05,検索広告,189,95,38
2025-04-05,SNS広告,34,22,6
2025-04-05,自然検索,8,3,2
2025-04-05,紹介,22,12,5
2025-04-06,検索広告,167,97,29
2025-04-06,SNS広告,68,42,17
2025-04-06,自然検索,6,4,1
2025-04-06,紹介,22,11,6
2025-04-07,検索広告,164,93,29
2025-04-07,SNS広告,40,22,2
2025-04-07,自然検索,5,1,1
2025-04-07,紹介,24,16,4
2025-04-08,検索広告,171,103,33
2025-04-08,SNS広告,32,14,3
2025-04-08,自然検索,17,11,3
2025-04-08,紹介,24,16,6
2025-04-09,検索広告,236,152,45
2025-04-09,SNS広告,46,34,11
2025-04-09,自然検索,5,2,1
2025-04-09,紹介,17,8,3
2025-04-10,検索広告,196,112,24
2025-04-10,SNS広告,64,34,8
2025-04-10,自然検索,7,6,3
2025-04-10,紹介,20,12,4
2025-04-11,検索広告,144,90,26
2025-04-11,SNS広告,54,25,10
2025-04-11,自然検索,3,1,1
2025-04-11,紹介,24,17,8
2025-04-12,検索広告,158,90,24
2025-04-12,SNS広告,36,19,6
2025-04-12,自然検索,11,8,4
2025-04-12,紹介,27,15,5
2025-04-13,検索広告,198,114,53
2025-04-13,SNS広告,45,23,6
2025-04-13,自然検索,10,5,2
2025-04-13,紹介,24,13,7
2025-04-14,検索広告,183,119,45
2025-04-14,SNS広告,62,37,11
2025-04-14,自然検索,6,5,1
2025-04-14,紹介,30,16,6
2025-04-15,検索広告,166,97,38
2025-04-15,SNS広告,63,44,11
2025-04-15,自然検索,14,7,2
2025-04-15,紹介,17,10,4
2025-04-16,検索広告,225,115,46
2025-04-16,SNS広告,62,29,4
2025-04-16,自然検索,7,6,4
2025-04-16,紹介,19,10,3
2025-04-17,検索広告,223,130,50
2025-04-17,SNS広告,58,38,14
